date,CE01ISSM,CE02SHSM,CE07SHSM,CP03ISSM,GA01SUMO,GI03FLMA
2015-03-09 11:00:00,NaN,NaN,NaN,NaN,NaN,34.8951
2015-03-09 12:00:00,NaN,NaN,NaN,NaN,NaN,34.8973
2015-03-09 13:00:00,NaN,NaN,NaN,NaN,NaN,34.8938
2015-03-09 14:00:00,NaN,NaN,NaN,NaN,NaN,34.8954
2015-03-09 15:00:00,NaN,NaN,NaN,NaN,NaN,34.8957
2015-03-09 16:00:00,NaN,NaN,NaN,NaN,NaN,34.899
2015-03-09 17:00:00,NaN,NaN,NaN,NaN,NaN,34.9019
2015-03-09 18:00:00,NaN,NaN,NaN,NaN,NaN,34.9017
2015-03-09 19:00:00,NaN,NaN,NaN,NaN,NaN,34.9048
2015-03-09 20:00:00,NaN,NaN,NaN,NaN,NaN,34.9389
2015-03-09 21:00:00,NaN,NaN,NaN,NaN,NaN,34.9388
2015-03-09 22:00:00,NaN,NaN,NaN,NaN,NaN,34.9404
2015-03-09 23:00:00,NaN,NaN,NaN,NaN,NaN,34.9405
2015-03-10 00:00:00,NaN,NaN,NaN,NaN,NaN,34.9411
2015-03-10 01:00:00,NaN,NaN,NaN,NaN,NaN,34.9431
2015-03-10 02:00:00,NaN,NaN,NaN,NaN,NaN,34.937
2015-03-10 03:00:00,NaN,NaN,NaN,NaN,NaN,34.9408
2015-03-10 04:00:00,NaN,NaN,NaN,NaN,NaN,34.9395
2015-03-10 05:00:00,NaN,NaN,NaN,NaN,NaN,34.9386
2015-03-10 06:00:00,NaN,NaN,NaN,NaN,NaN,34.9373
2015-03-10 07:00:00,NaN,NaN,NaN,NaN,NaN,34.9399
2015-03-10 08:00:00,NaN,NaN,NaN,NaN,NaN,34.8923
2015-03-10 09:00:00,NaN,NaN,NaN,NaN,NaN,34.9067
2015-03-10 10:00:00,NaN,NaN,NaN,NaN,NaN,34.9104
2015-03-10 11:00:00,NaN,NaN,NaN,NaN,NaN,34.9219
2015-03-10 12:00:00,NaN,NaN,NaN,NaN,NaN,34.898
2015-03-10 13:00:00,NaN,NaN,NaN,NaN,NaN,34.9053
2015-03-10 14:00:00,NaN,NaN,NaN,NaN,NaN,34.9049
2015-03-10 15:00:00,NaN,NaN,NaN,NaN,NaN,34.9048
2015-03-10 16:00:00,NaN,NaN,NaN,NaN,NaN,34.8986
2015-03-10 17:00:00,NaN,NaN,NaN,NaN,NaN,34.896
2015-03-10 18:00:00,NaN,NaN,NaN,NaN,NaN,34.8959
2015-03-10 19:00:00,NaN,NaN,NaN,NaN,NaN,34.8936
2015-03-10 20:00:00,NaN,NaN,NaN,NaN,NaN,34.8942
2015-03-10 21:00:00,NaN,NaN,NaN,NaN,NaN,34.8938
2015-03-10 22:00:00,NaN,NaN,NaN,NaN,NaN,34.8934
2015-03-10 23:00:00,NaN,NaN,NaN,NaN,NaN,34.912
2015-03-11 00:00:00,NaN,NaN,NaN,NaN,NaN,34.9251
2015-03-11 01:00:00,NaN,NaN,NaN,NaN,NaN,34.9307
2015-03-11 02:00:00,NaN,NaN,NaN,NaN,NaN,34.9189
2015-03-11 03:00:00,NaN,NaN,NaN,NaN,NaN,34.9235
2015-03-11 04:00:00,NaN,NaN,NaN,NaN,NaN,34.9251
2015-03-11 05:00:00,NaN,NaN,NaN,NaN,NaN,34.9199
2015-03-11 06:00:00,NaN,NaN,NaN,NaN,NaN,34.9048
2015-03-11 07:00:00,NaN,NaN,NaN,NaN,NaN,34.9018
2015-03-11 08:00:00,NaN,NaN,NaN,NaN,NaN,34.9065
2015-03-11 09:00:00,NaN,NaN,NaN,NaN,NaN,34.9178
2015-03-11 10:00:00,NaN,NaN,NaN,NaN,NaN,34.9251
2015-03-11 11:00:00,NaN,NaN,NaN,NaN,NaN,34.9294
2015-03-11 12:00:00,NaN,NaN,NaN,NaN,NaN,34.9286
2015-03-11 13:00:00,NaN,NaN,NaN,NaN,NaN,34.9244
2015-03-11 14:00:00,NaN,NaN,NaN,NaN,NaN,34.9286
2015-03-11 15:00:00,NaN,NaN,NaN,NaN,NaN,34.9287
