date,pCO2,pH
2016-01-01 08:00:00,316.851,8.06998
2016-01-01 09:00:00,316.123,8.06453
2016-01-01 10:00:00,315.113,8.06611
2016-01-01 11:00:00,318.541,8.0617
2016-01-01 12:00:00,315.821,8.06796
2016-01-01 13:00:00,315.385,8.06876
2016-01-01 14:00:00,315.084,8.07453
2016-01-01 15:00:00,315.55,8.06781
2016-01-01 16:00:00,314.444,8.04763
2016-01-01 17:00:00,315.141,8.0398
2016-01-01 18:00:00,315.802,8.04755
2016-01-01 19:00:00,314.832,8.07763
2016-01-01 20:00:00,312.367,8.06703
2016-01-01 21:00:00,311.242,8.06929
2016-01-01 22:00:00,311.029,8.08164
2016-01-01 23:00:00,314.132,8.06491
2016-01-02 00:00:00,315.229,8.06575
2016-01-02 01:00:00,314.354,8.07358
2016-01-02 02:00:00,314.119,8.07023
2016-01-02 03:00:00,313.385,8.0651
2016-01-02 04:00:00,313.898,8.06963
2016-01-02 05:00:00,316.646,8.06021
2016-01-02 06:00:00,313.957,8.0512
2016-01-02 07:00:00,313.595,8.08354
2016-01-02 08:00:00,313.951,8.05731
2016-01-02 09:00:00,312.944,8.06344
2016-01-02 10:00:00,313.397,8.06122
2016-01-02 11:00:00,312.468,8.06932
2016-01-02 12:00:00,312.87,8.07487
2016-01-02 13:00:00,313.459,8.04762
2016-01-02 14:00:00,316.839,8.07756
2016-01-02 15:00:00,314.501,8.07021
2016-01-02 16:00:00,313.824,8.06478
2016-01-02 17:00:00,313.677,8.06616
2016-01-02 18:00:00,315.171,8.07125
2016-01-02 19:00:00,314.759,8.06498
2016-01-02 20:00:00,313.628,8.08622
2016-01-02 21:00:00,312.723,8.09334
2016-01-02 22:00:00,312.211,8.05117
2016-01-02 23:00:00,314.396,8.07141
2016-01-03 00:00:00,309.854,8.06956
2016-01-03 01:00:00,310.414,8.06321
2016-01-03 02:00:00,310.436,8.06564
2016-01-03 03:00:00,311.575,8.06712
2016-01-03 04:00:00,311.115,8.07606
2016-01-03 05:00:00,310.968,8.07031
2016-01-03 06:00:00,312.135,8.05944
2016-01-03 07:00:00,312.184,8.05794
2016-01-03 08:00:00,314.813,8.07375
2016-01-03 09:00:00,312.537,8.07376
2016-01-03 10:00:00,314.725,8.07252
2016-01-03 11:00:00,315.206,8.07045
2016-01-03 12:00:00,314.57,8.06231
2016-01-03 13:00:00,313.392,8.07698
2016-01-03 14:00:00,312.35,8.07852
2016-01-03 15:00:00,313.176,8.07924
2016-01-03 16:00:00,313.667,8.08198
2016-01-03 17:00:00,316.642,8.07629
2016-01-03 18:00:00,313.498,8.07629
2016-01-03 19:00:00,313.703,8.07873
2016-01-03 20:00:00,312.963,8.08731
2016-01-03 21:00:00,312.881,8.07202
2016-01-03 22:00:00,312.012,8.06198
2016-01-03 23:00:00,312.511,8.07321
2016-01-04 00:00:00,312.432,8.07125
2016-01-04 01:00:00,312.516,8.07825
2016-01-04 02:00:00,316.407,8.07391
2016-01-04 03:00:00,313.68,8.08111
2016-01-04 04:00:00,313.076,8.06627
2016-01-04 05:00:00,313.705,8.07296
2016-01-04 06:00:00,312.653,8.04609
2016-01-04 07:00:00,312.389,8.07247
2016-01-04 08:00:00,313.372,8.05833
