date,Inshore Pacific,Offshore Pacific,Inshore Atlantic,Offshore Atlantic
2015-05-09 06:00:00,6.655,5.1027,1.1858,0.5445
2015-05-09 07:00:00,4.9368,5.7743,1.1858,0.8228
2015-05-09 08:00:00,6.9333,4.8983,1.4036,0.7865
2015-05-09 09:00:00,6.6066,8.3804,1.2826,1.7787
2015-05-09 10:00:00,7.1511,3.4821,1.4036,4.0414
2015-05-09 11:00:00,7.865,3.3069,1.573,3.8478
2015-05-09 12:00:00,9.7405,3.1025,1.2947,1.0285
2015-05-09 13:00:00,5.0699,3.796,1.1737,1.694
2015-05-09 14:00:00,4.8037,4.0442,0.9922,0.1815
2015-05-09 15:00:00,7.381,4.7012,0.8833,-0.0484
2015-05-09 16:00:00,6.7518,1.9418,0.8349,-0.0242
2015-05-09 17:00:00,9.4622,2.2849,0.9438,0.4235
2015-05-09 18:00:00,10.9868,1.5841,0.9075,0.484
2015-05-09 19:00:00,5.7717,2.1243,0.968,0.1815
2015-05-09 20:00:00,6.8002,2.993,1.0648,0.2662
2015-05-09 21:00:00,7.139,1.1534,1.3673,0.3146
2015-05-09 22:00:00,6.1831,2.0586,1.3915,0.6292
2015-05-09 23:00:00,NaN,2.409,1.3794,0.8954
2015-05-10 00:00:00,6.9333,2.7813,1.3431,0.6776
2015-05-10 01:00:00,5.7233,3.7084,1.5488,0.7502
2015-05-10 02:00:00,4.9973,3.7668,1.4883,0.6171
2015-05-10 03:00:00,5.445,4.5771,1.4883,0.605
2015-05-10 04:00:00,5.7475,5.2633,1.6335,0.5929
2015-05-10 05:00:00,5.2514,5.2633,1.3673,0.5808
2015-05-10 06:00:00,5.082,5.8765,1.3431,0.8712
2015-05-10 07:00:00,4.8763,5.4969,1.2947,1.2342
2015-05-10 08:00:00,6.5219,5.8692,1.3189,0.968
2015-05-10 09:00:00,5.7112,4.6063,1.3068,1.0164
2015-05-10 10:00:00,5.9048,3.504,1.3189,0.6655
2015-05-10 11:00:00,5.5539,3.431,1.4278,0.5929
2015-05-10 12:00:00,6.2315,3.504,1.3068,0.5808
2015-05-10 13:00:00,5.4087,4.4603,1.2463,0.8954
2015-05-10 14:00:00,7.7561,5.9422,1.1737,0.3751
