date,Inshore Pacific,Offshore Pacific,Inshore Atlantic,Offshore Atlantic
2015-04-21 17:00:00,1.7545,12.0304,NaN,NaN
2015-04-21 18:00:00,1.8271,10.8624,NaN,NaN
2015-04-21 19:00:00,1.6214,12.4319,NaN,NaN
2015-04-21 20:00:00,1.9965,12.2713,NaN,NaN
2015-04-21 21:00:00,1.7303,13.8846,NaN,NaN
2015-04-21 22:00:00,2.1901,16.7389,NaN,NaN
2015-04-21 23:00:00,2.2022,16.9725,NaN,NaN
2015-04-22 00:00:00,2.1901,15.1913,NaN,NaN
2015-04-22 01:00:00,2.1538,16.5126,NaN,NaN
2015-04-22 02:00:00,2.2143,15.2716,NaN,NaN
2015-04-22 03:00:00,2.0328,12.2129,NaN,NaN
2015-04-22 04:00:00,1.9481,11.2274,NaN,NaN
2015-04-22 05:00:00,1.7908,9.2491,NaN,NaN
2015-04-22 06:00:00,1.8271,9.4754,NaN,NaN
2015-04-22 07:00:00,1.7787,9.2637,NaN,NaN
2015-04-22 08:00:00,1.6577,9.1396,NaN,NaN
2015-04-22 09:00:00,1.6456,10.3806,NaN,NaN
2015-04-22 10:00:00,1.7061,8.8768,NaN,NaN
2015-04-22 11:00:00,1.6698,8.9717,NaN,NaN
2015-04-22 12:00:00,1.6819,9.2637,NaN,NaN
2015-04-22 13:00:00,1.4036,8.979,NaN,NaN
2015-04-22 14:00:00,1.5972,9.3659,NaN,NaN
2015-04-22 15:00:00,1.8513,6.0882,NaN,NaN
2015-04-22 16:00:00,1.7303,5.8254,NaN,NaN
2015-04-22 17:00:00,1.7182,5.5334,NaN,NaN
2015-04-22 18:00:00,1.8029,4.9129,NaN,NaN
2015-04-22 19:00:00,1.7787,7.9935,NaN,NaN
2015-04-22 20:00:00,1.6577,9.417,NaN,NaN
2015-04-22 21:00:00,NaN,9.4973,NaN,NaN
2015-04-22 22:00:00,1.815,11.169,NaN,NaN
2015-04-22 23:00:00,1.7545,11.0449,NaN,NaN
2015-04-23 00:00:00,1.7787,11.972,NaN,NaN
2015-04-23 01:00:00,1.8392,13.8773,NaN,NaN
2015-04-23 02:00:00,2.0933,11.388,NaN,NaN
2015-04-23 03:00:00,2.1417,8.3001,NaN,NaN
2015-04-23 04:00:00,2.2506,8.7746,NaN,NaN
2015-04-23 05:00:00,2.1659,5.5188,NaN,NaN
2015-04-23 06:00:00,1.936,5.5991,NaN,NaN
2015-04-23 07:00:00,2.0207,5.6429,NaN,NaN
2015-04-23 08:00:00,1.9118,6.1904,NaN,NaN
2015-04-23 09:00:00,1.8392,11.3734,NaN,NaN
2015-04-23 10:00:00,1.8513,3.9347,NaN,NaN
2015-04-23 11:00:00,1.8876,5.8692,NaN,NaN
2015-04-23 12:00:00,1.7424,8.6359,NaN,NaN
2015-04-23 13:00:00,1.9844,6.8693,NaN,NaN
2015-04-23 14:00:00,2.0328,7.9278,NaN,NaN
2015-04-23 15:00:00,1.8029,5.8473,NaN,NaN
2015-04-23 16:00:00,2.2506,6.424,NaN,NaN
2015-04-23 17:00:00,1.6819,7.2781,NaN,NaN
2015-04-23 18:00:00,2.9161,8.6067,NaN,NaN
2015-04-23 19:00:00,2.6499,6.9642,NaN,NaN
2015-04-23 20:00:00,2.6378,8.5045,NaN,NaN
