time,Barometric Pressure,Wind Speed,Significant Wave Height
2018-01-12T13:00:00Z,1020.599,7.278,1.04
2018-01-12T14:00:00Z,1020.062,7.919,1.22
2018-01-12T15:00:00Z,1019.244,8.24,1.43
2018-01-12T16:00:00Z,1017.739,9.516,1.5
2018-01-12T17:00:00Z,1016.277,9.891,1.79
2018-01-12T18:00:00Z,1015.142,10.068,2.03
2018-01-12T19:00:00Z,1014.65,10.124,2.05
2018-01-12T20:00:00Z,1013.927,9.115,2.07
2018-01-12T21:00:00Z,1013.301,9.701,2.24
2018-01-12T22:00:00Z,1012.753,9.989,2.28
2018-01-12T23:00:00Z,1011.964,10.087,2.74
2018-01-13T00:00:00Z,1011.389,10.276,2.78
2018-01-13T01:00:00Z,1010.498,10.607,2.69
2018-01-13T02:00:00Z,1009.814,10.505,2.94
2018-01-13T03:00:00Z,1008.704,10.626,2.88
2018-01-13T04:00:00Z,1007.62,11.048,3.92
2018-01-13T05:00:00Z,1006.108,11.038,3.63
2018-01-13T06:00:00Z,1005.138,11.403,3.47
2018-01-13T07:00:00Z,1004.069,11.892,3.99
2018-01-13T08:00:00Z,1002.702,12.022,3.61
2018-01-13T09:00:00Z,1001.812,13.484,4.1
2018-01-13T10:00:00Z,1001.858,12.736,4.42
2018-01-13T11:00:00Z,1001.899,12.532,4.79
2018-01-13T12:00:00Z,1002.616,11.892,4.48
2018-01-13T13:00:00Z,1003.764,9.148,4.86
2018-01-13T14:00:00Z,1005.075,9.733,4.39
2018-01-13T15:00:00Z,1006.064,9.582,5.12
2018-01-13T16:00:00Z,1007.142,10.139,4.05
2018-01-13T17:00:00Z,1008.525,9.276,5.09
2018-01-13T18:00:00Z,1009.407,9.059,3.86
2018-01-13T19:00:00Z,1010.942,8.439,4.22
2018-01-13T20:00:00Z,1012.746,8.104,3.39
2018-01-13T21:00:00Z,1014.247,7.261,4.03
2018-01-13T22:00:00Z,1015.155,8.458,4.43
2018-01-13T23:00:00Z,1016.726,8.214,3.44
2018-01-14T00:00:00Z,1018.347,7.835,2.38
2018-01-14T01:00:00Z,1019.913,6.715,3.92
2018-01-14T02:00:00Z,1020.986,6.388,3.14
2018-01-14T03:00:00Z,1022.232,6.633,3.68
2018-01-14T04:00:00Z,1022.932,6.921,3.04
2018-01-14T05:00:00Z,1023.324,7.258,3.51
2018-01-14T06:00:00Z,1024.206,7.419,3.44
2018-01-14T07:00:00Z,1025.504,7.272,3.2
2018-01-14T08:00:00Z,1025.911,7.977,3.09
2018-01-14T09:00:00Z,1026.682,7.345,2.96
2018-01-14T10:00:00Z,1027.717,6.807,2.39
2018-01-14T11:00:00Z,1028.773,6.316,2.92
2018-01-14T12:00:00Z,1029.606,6.064,2.03
2018-01-14T13:00:00Z,1030.654,6.083,1.84
2018-01-14T14:00:00Z,1031.665,5.973,2.18
2018-01-14T15:00:00Z,1032.106,6.517,1.84
2018-01-14T16:00:00Z,1032.206,5.685,2.05
2018-01-14T17:00:00Z,1031.854,5.429,1.73
2018-01-14T18:00:00Z,1031.824,5.882,1.81
2018-01-14T19:00:00Z,1031.941,6.667,1.67
2018-01-14T20:00:00Z,1032.585,6.759,1.9
2018-01-14T21:00:00Z,1033.589,6.308,2.25
2018-01-14T22:00:00Z,1034.153,6.355,1.87
2018-01-14T23:00:00Z,1034.727,6.534,1.8
2018-01-15T00:00:00Z,1035.082,7.035,1.59
2018-01-15T01:00:00Z,1035.329,7.345,1.71
2018-01-15T02:00:00Z,1034.968,8.605,1.56
2018-01-15T03:00:00Z,1035.134,8.324,1.73
2018-01-15T04:00:00Z,1035.219,7.962,2.03
2018-01-15T05:00:00Z,1034.779,7.87,1.7
2018-01-15T06:00:00Z,1034.698,8.347,1.96
2018-01-15T07:00:00Z,1034.618,7.984,2.06
2018-01-15T08:00:00Z,1034.106,8.656,1.99
2018-01-15T09:00:00Z,1033.749,8.735,2.01
2018-01-15T10:00:00Z,1033.643,8.809,2.05
2018-01-15T11:00:00Z,1034.027,8.722,1.83
2018-01-15T12:00:00Z,1034.187,9.186,1.99
