time,Endurance Salinity,Endurance Air Temp,Endurance SST,Endurance Rain,Pioneer Salinity,Pioneer Air Temp,Pioneer SST,Pioneer Rain,Irminger Salinity,Irminger Air Temp,Irminger SST,Irminger Rain
2015-05-15,30.64973593,11.836229,12.079215,0.2226448,33.3383306,12.338791,11.643462,1.1320002,,,,
2015-05-16,30.76444566,11.576925,12.124224,1.2580872,33.2968566,13.297006,11.701545,1.6493332,,,,
2015-05-17,30.73555193,11.857438,12.555536,0.21400833,33.27876907,14.283351,12.726915,1.6459998,,,,
2015-05-18,31.32562432,12.218557,11.870876,0.24533463,33.29473407,11.570429,12.836715,1.4273338,,,,
2015-05-19,31.29551922,12.187282,12.157785,0.33468056,33.209329,13.201467,12.649929,29.583332,,,,
2015-05-20,31.47621954,11.741898,11.614456,0.24401093,33.27306136,13.337485,12.893774,1.3186684,,,,
2015-05-21,31.8541169,11.160855,10.910065,11.45532,33.50335692,12.287097,13.045009,1.3673286,,,,
2015-05-22,31.88000416,11.500277,11.005912,0.26200867,33.612588,12.208917,13.405979,14.937992,,,,
2015-05-23,31.76459766,11.559888,11.4868555,0.5320015,33.62400809,12.028643,13.15584,0.74934006,,,,
2015-05-24,32.10928235,11.526521,10.894111,0.40864944,33.44908622,13.100692,12.642405,0.8033409,,,,
2015-05-25,32.22823196,11.148345,10.7068,0.54401016,33.26446287,14.731501,12.784402,0.9766159,,,,
2015-05-26,31.99040015,11.838855,11.089391,0.30265045,33.25528301,15.808701,13.119192,1.0393372,,,,
2015-05-27,31.96399076,11.612793,11.073816,0.61133194,33.25550896,16.299593,13.52941,0.953331,,,,
2015-05-28,32.28447586,11.141175,10.210034,0.2553482,33.25086208,16.63415,13.948451,1.1019974,,,,
2015-05-29,32.3334274,11.397911,10.281867,0.29800797,33.22314484,16.781294,14.795463,0.9986725,,,,
2015-05-30,32.39868194,11.363983,10.13174,0.47332382,33.19491407,17.305204,15.911194,1.168026,,,,
2015-05-31,32.52868192,11.29023,10.136267,0.35265732,33.15877541,17.933012,16.13785,0.96533966,,,,
2015-06-01,32.57937042,11.248849,10.360848,1.8387032,33.55831672,15.219559,16.995157,1.415348,,,,
2015-06-02,31.67496332,11.784436,12.077035,1.6833076,33.73569895,12.947292,16.219667,5.4560037,,,,
2015-06-03,31.23047701,12.920149,13.208527,0.95399094,34.87726969,11.835375,17.981018,1.2606659,,,,
2015-06-04,31.60773307,13.211581,12.609047,0.33861542,34.68384359,12.01375,17.453188,1.1720004,,,,
2015-06-05,32.41269534,12.011308,10.901567,0.2719803,35.23254718,13.0603,17.921398,2.7626646,,,,
2015-06-06,32.50559417,11.233036,9.817494,0.28398514,34.9923499,14.334806,17.73425,1.3606651,,,,
2015-06-07,32.56184986,11.361973,9.563085,0.39468002,34.66290917,15.425916,16.878609,1.3093336,,,,
2015-06-08,32.71319727,10.826774,9.31588,0.52332306,34.70937015,17.748909,17.234303,1.5940006,,,,
2015-06-09,33.0832745,10.861202,8.753112,0.40667343,34.60004384,19.577986,17.281994,1.7513323,,,,
2015-06-10,32.98267563,10.843433,9.009485,0.5753708,34.26857916,18.22804,17.434826,1.5220001,,,,
2015-06-11,32.85889845,11.229423,9.412622,0.40600586,34.31718091,19.48827,18.043324,1.2076793,,,,
2015-06-12,32.86991182,11.202495,9.37976,0.40669632,34.50030768,19.39062,18.662802,1.4113183,,,,
2015-06-13,32.83707992,10.852361,9.3290415,0.41604233,34.57730083,19.359905,18.757462,1.4254353,,,,
2015-06-14,32.74747426,10.886598,9.598319,0.33802795,33.99636329,18.135288,18.09,1.5544138,,,,
2015-06-15,32.91418508,10.946639,9.505197,0.3613472,32.98329819,17.32279,16.802355,7.234315,,,,
2015-06-16,32.9239853,11.098268,9.458466,0.5326996,32.8855057,18.163097,16.944338,1.6533451,,,,
2015-06-17,32.85955446,11.038382,9.599135,0.39534378,33.721284,17.480455,18.075882,1.131547,,,,
2015-06-18,32.82027601,11.759836,9.938577,0.5079918,35.20946192,16.41409,19.8657,0.8644247,,,,
2015-06-19,32.78781906,11.985046,11.454246,0.3160019,34.75336278,19.277866,19.229717,1.107501,,,,
2015-06-20,32.88341718,11.988709,10.382213,0.3653412,33.48112549,17.255135,17.434801,1.8336525,,,,
2015-06-21,32.97448962,11.670882,9.8538685,0.40068817,33.00787854,19.894552,16.148142,8.033702,,,,
2015-06-22,32.96785513,12.639914,10.4340725,0.33021927,32.99840539,19.028658,16.118519,1.7079401,,,,
2015-06-23,32.8024753,12.415793,11.559583,0.26733017,32.80163894,19.592764,16.628496,1.5263672,,,,
2015-06-24,32.82373916,13.491238,12.092578,0.45466232,33.42577004,19.71627,18.11597,1.3213091,,,,
2015-06-25,32.49615351,14.390448,13.469803,0.23268509,33.37362401,19.95268,18.788382,1.309782,,,,
2015-06-26,32.67342426,13.246338,11.359694,0.42471313,33.30522081,19.035097,18.71094,1.2613821,,,,
2015-06-27,32.92549166,11.467119,9.939322,0.36936188,33.21488589,17.482168,18.345226,1.3707771,,,,
2015-06-28,32.96450017,10.690057,10.436515,0.39066315,33.54848195,20.298346,18.679829,3.0384626,,,,
2015-06-29,32.70889811,11.463039,11.105902,0.2180481,33.43603178,19.639366,18.865974,1.1335182,,,,
2015-06-30,32.37939362,13.997211,12.978298,0.2673645,33.61921354,20.677216,19.8698,1.1772213,,,,
2015-07-01,32.72174309,13.066505,11.214821,0.24003601,33.61924033,21.623611,20.40681,1.1531448,,,,
2015-07-02,32.73174319,13.377124,11.428144,0.2846489,33.59035787,20.974808,20.068546,25.28809,,,,
2015-07-03,32.76485854,13.41985,11.591434,0.30467224,33.22904226,20.028084,20.342094,10.496917,,,,
2015-07-04,32.84405358,13.140209,11.855287,0.45446014,33.26859116,19.848549,20.071764,1.1244593,,,,
2015-07-05,32.7337303,13.878117,13.068853,0.30397034,34.0326028,20.351067,20.872086,1.3253374,,,,
2015-07-06,32.64615702,12.256548,12.376464,0.28269196,33.58895241,22.030327,21.168886,1.3412695,,,,
2015-07-07,32.84662286,13.595756,12.944692,0.34933853,33.31384901,23.064768,21.918118,1.3490076,,,,
2015-07-08,32.6400006,15.521883,14.451769,0.27667618,33.37608359,23.048689,21.434977,1.2760372,,,,
2015-07-09,32.6635964,15.095097,14.512864,0.26000214,33.2404422,20.797035,21.575325,1.5560541,,,,
2015-07-10,32.60935461,14.738876,14.394805,0.24737167,33.29935209,20.683311,21.69833,1.3808079,,,,
2015-07-11,32.56305098,15.028298,14.645136,0.41334534,33.29015287,21.902365,21.674263,1.4629431,,,,
2015-07-12,32.19689738,15.278779,15.37413,0.2887268,33.5597914,22.750095,22.657576,1.393096,,,,
2015-07-13,32.26571369,15.716983,16.208271,0.3672905,33.38411925,23.338438,23.178179,1.2510595,,,,
2015-07-14,32.52227819,16.075241,15.295358,0.2646675,33.91616603,23.832764,23.221094,6.5046253,,,,
2015-07-15,33.13627166,15.577624,14.788211,0.20468521,34.14281115,24.414145,23.808147,2.4757442,,,,
2015-07-16,33.15677088,15.680724,15.153007,0.27734375,34.70046504,20.092747,23.776546,12.539989,,,,
2015-07-17,33.15026198,15.156082,14.5603485,0.25468445,34.91959463,20.292183,23.763102,1.4593468,,,,
2015-07-18,33.21603861,14.947464,13.901983,0.24601364,34.3530493,22.953907,23.32334,1.1553192,,,,
2015-07-19,33.23251312,14.1136,13.558436,0.24133301,34.19288712,24.462873,23.465345,0.98067284,,,,
2015-07-20,33.1565753,14.245261,13.712752,0.34998703,34.0798034,24.762115,23.884007,1.1747036,,,,
2015-07-21,33.15899478,15.414111,14.188265,0.23731232,33.87507852,24.614452,23.947966,1.2466755,,,,
2015-07-22,33.15055978,15.335277,15.030406,0.25199127,33.89042865,23.322819,24.012413,0.95331573,,,,
2015-07-23,33.13149733,15.246285,14.989642,0.342144,33.72792964,23.044035,23.604658,1.1186695,,,,
2015-07-24,33.0188889,15.557858,15.156244,0.2433281,33.42584154,22.736023,23.290468,1.1586647,,,,
2015-07-25,32.70906803,16.05148,15.493137,2.676674,33.64900002,22.139666,23.763899,1.1626663,,,,
2015-07-26,32.54364462,15.982262,15.972712,0.21667862,33.47208269,22.992296,23.537615,0.97267914,,,,
2015-07-27,32.57854352,16.13627,15.563332,0.3273239,33.15546472,24.36779,23.405483,2.2940063,,,,
2015-07-28,32.69020978,15.76295,14.96562,0.25929642,33.14412359,24.292784,23.609776,1.2866554,,,,
2015-07-29,33.13523336,14.78511,13.325276,0.3239708,33.22711934,24.539377,24.34923,1.1766796,,,,
2015-07-30,33.21547999,13.953604,11.35242,0.26600266,33.14609915,25.140251,24.377655,0.9693241,,,,
2015-07-31,33.25715184,12.694816,10.804459,0.27335358,32.97982112,24.580244,24.565071,18.305971,,,,
2015-08-01,33.21840368,12.243788,10.636854,0.31736374,33.07883481,25.432005,24.785143,1.5933533,,,,
2015-08-02,33.20988355,12.485233,10.881792,0.23806,33.14640392,25.066553,24.853355,1.2860107,,,,
2015-08-03,33.15640222,12.427456,11.19403,0.20533752,33.22902308,25.469175,25.182625,7.2573624,,,,
2015-08-04,33.14572656,12.993004,11.385604,0.2973404,33.13133281,25.944624,24.962973,0.9593277,,,,
2015-08-05,33.10000489,13.108076,11.145502,0.3113556,33.10958383,24.70845,24.614046,3.3566566,,,,
2015-08-06,33.08051453,12.8404455,11.1127405,0.3193245,33.30594255,23.352907,24.05362,1.1840003,,,,
2015-08-07,33.18668525,13.140474,11.127198,0.2613182,33.32134811,22.55333,23.872032,1.0839994,,,,
2015-08-08,32.84094723,12.966221,11.621276,0.23470306,33.67250213,21.202744,23.99024,1.058666,,,,
