time,latitude,longitude,depth,mag
2015-04-24T05:33:26Z,45.96914,-129.99576,1.595,1.7
2015-04-24T05:33:38Z,45.98234,-130.00178,2.332,2.1
2015-04-24T05:35:08Z,45.95205,-129.99408,0.765,1.4
2015-04-24T05:37:12Z,45.96614,-129.9973,2.003,1.8
2015-04-24T05:37:43Z,45.97311,-129.9913,1.802,1.5
2015-04-24T05:39:30Z,45.98319,-130.01107,3.083,2.1
2015-04-24T05:40:26Z,45.96759,-130.00107,1.17,1.7
2015-04-24T05:43:35Z,45.9702,-129.98928,1.571,2.5
2015-04-24T05:46:07Z,45.97937,-129.99371,2.39,2.2
2015-04-24T05:50:41Z,45.95886,-129.99288,1.444,1.3
2015-04-24T05:51:06Z,45.96846,-129.99684,1.082,1.7
2015-04-24T05:52:48Z,45.96829,-129.99574,2.422,2
2015-04-24T05:55:55Z,45.95823,-129.99561,1.484,1.9
2015-04-24T05:56:48Z,45.95461,-129.99232,1.006,1.4
2015-04-24T05:57:36Z,45.97148,-129.98942,2.793,1.6
